Loading existing Q-table from q_table.npy
Loaded Q-table shape: (36, 5)
Warning: Shape mismatch! Expected (288, 5)
Initializing new Q-table with zeros
Q-table shape: (288, 5)
Starting training...
current distance: 35.23224088081358
current distance: 35.1251421635641
current distance: 35.02053683447905
current distance: 34.84823657809734
current distance: 34.72065782318058
current distance: 34.59038110329903
current distance: 34.49329020692225
current distance: 34.384984993944414
current distance: 34.306682135800365
current distance: 34.86147553206625
current distance: 34.689247114442914
current distance: 33.853652871215424
current distance: 34.28878359838375
current distance: 34.46856223724213
current distance: 34.62546204959514
current distance: 33.91792044991041
current distance: 34.53391737984529
current distance: 35.642439381913405
current distance: 36.01057877737423
current distance: 35.57843848760142
current distance: 35.189127335213115
current distance: 34.87138189150983
current distance: 34.709651982803884
current distance: 34.55614027792984
current distance: 34.432842877252845
current distance: 34.37317204564087
current distance: 35.08120624927275
current distance: 34.88343929196821
current distance: 34.661377033007774
current distance: 34.52117142053314
current distance: 34.476971513354925
current distance: 34.408550590307996
current distance: 34.42948488818524
current distance: 34.141644088471274
current distance: 34.24762026269238
current distance: 35.068948263826826
current distance: 35.499548419943814
current distance: 35.805012176355135
current distance: 36.032439500667394
current distance: 36.516546134892515
current distance: 35.71006704578603
current distance: 35.41146520106463
current distance: 35.918484172144716
current distance: 36.34582141103853
current distance: 36.67905381648596
current distance: 36.91866121512755
current distance: 37.124434009900384
current distance: 36.89815949285035
current distance: 36.79760448094186
current distance: 37.28863338461818
current distance: 36.57428084664665
current distance: 36.29643887488769
current distance: 36.48254191790231
current distance: 36.95079804458224
current distance: 37.25220763195301
current distance: 37.805718253403946
current distance: 37.582913278706165
current distance: 37.721375331292975
current distance: 37.357850743729266
current distance: 36.84477979822516
current distance: 37.13619627810209
current distance: 37.33457587757215
current distance: 37.369163879245
current distance: 37.40273354258668
current distance: 37.44068165004549
current distance: 37.84291780047613
current distance: 38.0812694040555
current distance: 38.654828083378554
current distance: 39.42227972866093
current distance: 40.198114988959276
current distance: 40.74298415702909
current distance: 40.71532868658117
current distance: 40.595717582703706
current distance: 40.559853044298265
current distance: 40.07324623548215
current distance: 40.10645644249322
current distance: 40.46561334533639
current distance: 40.58312454795642
current distance: 40.9990713306394
current distance: 40.65123306944156
current distance: 40.83471425177517
current distance: 40.94145734316042
current distance: 41.89230584533606
current distance: 42.29861524195955
current distance: 41.598266151612
current distance: 41.59813385251323
current distance: 41.05686145541837
current distance: 41.125267530209555
current distance: 41.26877513898813
current distance: 41.397560163658085
current distance: 41.47027596786908
current distance: 41.814490568977874
current distance: 41.21777489919066
current distance: 42.01241487026978
current distance: 41.490341625919186
current distance: 42.20808380189033
current distance: 42.53009517556824
current distance: 42.50017550198067
current distance: 42.48422513543273
current distance: 42.49823699325378
current distance: 41.94815013689045
current distance: 41.35005945064258
current distance: 41.48225432806248
current distance: 41.84647383278408
current distance: 42.13974828772806
current distance: 42.16043177091253
current distance: 41.63842700898539
current distance: 41.803494456943575
current distance: 41.32554204554309
current distance: 41.39485178067126
current distance: 40.81928723013835
current distance: 40.92581817359629
current distance: 41.01552158396664
current distance: 41.11935022967348
current distance: 40.731772365674196
current distance: 40.795290871862846
current distance: 40.89474867040183
current distance: 40.29126191514836
current distance: 41.00138181589088
current distance: 41.852019877786134
current distance: 41.410648040535676
current distance: 40.760235110731784
current distance: 40.12469291678142
current distance: 39.522696294770306
current distance: 38.96977424748062
current distance: 38.43368147769582
current distance: 38.578176887145005
current distance: 38.66209899526115
current distance: 38.71374512837738
current distance: 39.51932582179234
current distance: 39.108567972696
current distance: 39.74167627626058
current distance: 39.66812931768771
current distance: 39.558859604624146
current distance: 38.94777133467702
current distance: 38.813010243868355
current distance: 38.6066635857029
current distance: 38.34109095937142
current distance: 38.03563333264596
current distance: 38.326203048189036
current distance: 37.85375512366757
current distance: 38.125561375907125
current distance: 37.62511945321015
current distance: 37.59470248310296
current distance: 37.726905129754044
current distance: 38.03283232721447
current distance: 37.66730568348762
current distance: 37.278935314426
current distance: 38.54657891834818
current distance: 38.90779656510078
current distance: 38.86433572972969
current distance: 38.747459986087605
current distance: 38.67668388349166
current distance: 39.37922689833979
current distance: 40.01659000315228
current distance: 41.486829994167536
current distance: 41.6318534733762
current distance: 41.589234879661035
current distance: 41.6369957272923
current distance: 41.81969201842328
current distance: 41.90070241810623
current distance: 43.86257954001854
current distance: 45.60428262019558
current distance: 44.91459445041664
current distance: 45.18882342540444
current distance: 45.06470103547025
current distance: 44.88855781598126
current distance: 46.167727055215444
current distance: 45.75920056845278
current distance: 45.715401941050196
current distance: 45.49725735423107
current distance: 45.61310060405536
current distance: 45.65255617945446
current distance: 46.44845506195987
current distance: 47.9807562643264
current distance: 48.07669277033972
