 248 | HOLD     |     3 |   26.5 |     0 |        3 |   20.03

*** TERMINATED at step 248 ***
 249 | RELEASE  |     3 |   26.4 |     0 |        3 |   20.02

*** TERMINATED at step 249 ***
 250 | GRASP    |     3 |   26.4 |     0 |        3 |   20.00

*** TERMINATED at step 250 ***
 251 | ROT_REV  |     3 |   26.4 |     0 |        3 |   19.99

*** TERMINATED at step 251 ***
 252 | GRASP    |     3 |   26.4 |     0 |        3 |   20.01

*** TERMINATED at step 252 ***
 253 | GRASP    |     3 |   25.7 |     0 |        3 |   19.63

*** TERMINATED at step 253 ***
 254 | RELEASE  |     3 |   26.1 |     0 |        3 |   20.09

*** TERMINATED at step 254 ***
 255 | HOLD     |     3 |   26.0 |     0 |        3 |   20.01

*** TERMINATED at step 255 ***
 256 | ROTATE   |     3 |   26.0 |     0 |        3 |   20.03

*** TERMINATED at step 256 ***
 257 | RELEASE  |     3 |   26.0 |     0 |        3 |   19.99

*** TERMINATED at step 257 ***
 258 | ROT_REV  |     3 |   25.9 |     0 |        3 |   20.02

*** TERMINATED at step 258 ***
 259 | HOLD     |     3 |   25.9 |     0 |        3 |   20.02

*** TERMINATED at step 259 ***
 260 | ROT_REV  |     3 |   25.9 |     0 |        3 |   20.01

*** TERMINATED at step 260 ***
 261 | RELEASE  |     3 |   25.9 |     0 |        3 |   20.00

*** TERMINATED at step 261 ***
 262 | ROT_REV  |     3 |   25.8 |     0 |        3 |   20.02

*** TERMINATED at step 262 ***
 263 | HOLD     |     3 |   25.8 |     0 |        3 |   19.99

*** TERMINATED at step 263 ***
 264 | GRASP    |     3 |   25.7 |     0 |        3 |   19.88

*** TERMINATED at step 264 ***
 269 | RELEASE  |     7 |   27.0 |     1 |        3 |   21.44

*** TERMINATED at step 269 ***
 270 | GRASP    |     3 |   26.3 |     0 |        3 |   19.71

*** TERMINATED at step 270 ***
 271 | GRASP    |     3 |   25.9 |     0 |        3 |   19.91

*** TERMINATED at step 271 ***
 272 | GRASP    |     3 |   25.7 |     0 |        3 |   19.81

*** TERMINATED at step 272 ***
 273 | RELEASE  |     3 |   28.2 |     0 |        3 |   20.48

*** TERMINATED at step 273 ***
 274 | ROT_REV  |     3 |   27.8 |     0 |        3 |   19.79

*** TERMINATED at step 274 ***
 275 | ROT_REV  |     3 |   27.3 |     0 |        3 |   19.82

*** TERMINATED at step 275 ***
 276 | ROTATE   |     3 |   27.0 |     0 |        3 |   19.82

*** TERMINATED at step 276 ***
 277 | ROT_REV  |     3 |   26.8 |     0 |        3 |   19.88

*** TERMINATED at step 277 ***
 278 | RELEASE  |     3 |   28.8 |     0 |        3 |   20.35

*** TERMINATED at step 278 ***
 279 | GRASP    |     3 |   28.6 |     0 |        3 |   19.90

*** TERMINATED at step 279 ***
 280 | ROTATE   |     3 |   28.4 |     0 |        3 |   20.03

*** TERMINATED at step 280 ***
 281 | RELEASE  |     3 |   29.3 |     0 |        3 |   20.18

